ID_Estudiante,Universidad,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Nivel_Critico,Nivel_Tecnico,Nivel_Participativo,Nivel_AMI_Global,Riesgo_Total,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Score_Riesgo_Academico,Score_Riesgo_LMS,Riesgo_Acad_Perceptual,Riesgo_Documental
STU_0230,UNI,3.9,3.7,3.3,3.633333333333333,Alto,Alto,Medio,Medio,0,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,2,3,4,4,4,2,3,2,3,4,4,1.75,2.125,2.5,2.125
STU_0231,UNI,3.2,2.6,2.2,2.6666666666666665,Bajo,Bajo,Bajo,Bajo,1,4,2,4,3,4,2,3,4,2,4,4,3,1,4,1,4,1,2,3,3,1,3,2,4,4,1,2,3,1,1,2.375,2.5,2.75,2.5
STU_0232,UNI,2.4,4.0,2.4,2.9333333333333336,Bajo,Alto,Bajo,Bajo,1,4,2,3,2,1,3,2,4,2,1,4,4,4,4,4,4,4,4,4,4,2,5,2,4,2,2,2,1,1,3,1.75,1.625,1.0,1.625
STU_0233,UNI,3.8,4.0,3.9,3.9,Medio,Alto,Alto,Alto,0,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,4,4,4,4,4,1.25,2.125,1.0,2.125
STU_0234,UNI,3.9,4.0,4.2,4.033333333333334,Alto,Alto,Alto,Alto,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,4,5,4,4,1.0,1.375,1.0,1.375
STU_0235,UNI,3.9,3.7,4.2,3.9333333333333336,Alto,Alto,Alto,Alto,1,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,2,5,5,5,5,2,4,4,4,4,4,3.0,2.5,3.0,2.5
STU_0236,UNI,3.8,3.9,3.8,3.8333333333333335,Medio,Alto,Medio,Alto,1,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,5,4,3,4,4,2.875,2.75,3.75,2.75
STU_0237,UNI,4.1,3.8,3.5,3.7999999999999994,Alto,Alto,Medio,Alto,1,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,3.0,2.625,3.0,2.625
STU_0238,UNI,3.8,3.4,3.2,3.4666666666666663,Medio,Medio,Bajo,Medio,1,4,4,4,4,4,2,4,4,4,4,4,3,4,3,4,3,4,3,4,2,3,4,4,4,3,2,2,3,3,4,2.5,1.875,2.0,1.875
STU_0239,UNI,3.8,3.7,3.7,3.733333333333333,Medio,Alto,Medio,Medio,1,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,2.75,2.875,2.5,2.875
STU_0240,UNI,3.6,3.9,3.6,3.6999999999999997,Medio,Alto,Medio,Medio,0,4,4,4,4,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,4,1.875,1.875,1.75,1.875
STU_0241,UNI,3.4,3.9,4.0,3.766666666666667,Bajo,Alto,Alto,Alto,1,4,4,4,3,3,2,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,5,4,4,3,4,4,5,4,3,2.375,2.125,1.75,2.125
STU_0242,UNI,3.6,2.3,2.7,2.866666666666667,Medio,Bajo,Bajo,Bajo,1,4,3,4,3,4,3,4,4,3,4,4,2,2,2,2,3,2,2,2,2,2,4,2,2,3,4,4,2,2,2,2.625,1.375,2.25,1.375
